# Program:featureCounts v2.0.0; Command:"featureCounts" "-a" "Saccharomyces_cerevisiae.R64-1-1.106.gtf" "-o" "result.txt" "./Aligned_Files/ERR2198545.sam" "./Aligned_Files/ERR2198546.sam" "./Aligned_Files/ERR2198547.sam" "./Aligned_Files/ERR2198548.sam" "./Aligned_Files/ERR2198593.sam" "./Aligned_Files/ERR2198594.sam" "./Aligned_Files/ERR2198595.sam" "./Aligned_Files/ERR2198596.sam" 
Geneid	Chr	Start	End	Strand	Length	./Aligned_Files/ERR2198545.sam	./Aligned_Files/ERR2198546.sam	./Aligned_Files/ERR2198547.sam	./Aligned_Files/ERR2198548.sam	./Aligned_Files/ERR2198593.sam	./Aligned_Files/ERR2198594.sam	./Aligned_Files/ERR2198595.sam	./Aligned_Files/ERR2198596.sam
YPL211W	XVI	153495	154040	+	546	148	155	141	126	68	76	80	77
YPL041C	XVI	475118	475741	-	624	101	93	96	64	69	52	39	41
YPR003C	XVI	561504	563768	-	2265	467	498	424	432	398	397	291	361
YPL181W	XVI	203421	204941	+	1521	1652	1935	1653	1743	1504	1582	1192	1256
YPR168W	XVI	878076	878549	+	474	102	118	79	99	97	94	81	80
YPL185W	XVI	195253	195648	+	396	12	3	7	6	1	1	3	2
YPL040C	XVI	475993	479001	-	3009	344	319	273	316	257	246	232	198
YPL070W	XVI	420948	422786	+	1839	700	678	552	520	375	439	342	369
YPR159W	XVI	857583	859745	+	2163	1509	1671	1341	1393	952	955	821	882
YPL002C	XVI	553627	554328	-	702	347	310	273	288	225	219	204	226
snR51	XVI	718700	718806	-	107	18	17	21	14	8	5	4	4
YPL227C	XVI	120163	121167	-	1005	242	286	204	212	189	167	156	159
YPL067C	XVI	425251	425847	-	597	115	100	84	111	101	144	85	49
YPL236C	XVI	101608	102702	-	1095	215	270	205	242	161	208	165	181
YPL151C	XVI	266180	267535	-	1356	486	519	430	415	449	485	392	420
YPL234C	XVI	104946	105440	-	495	230	241	211	239	196	196	128	174
YPL015C	XVI	525810	526883	-	1074	837	813	710	682	588	653	580	537
YPR035W	XVI	642208	643320	+	1113	4554	4686	4084	4058	2849	2908	2519	2536
YPR037C	XVI	646448	647038	-	591	132	135	109	90	126	114	101	131
YPR184W	XVI	902044	906654	+	4611	2653	2874	2394	2228	2127	2390	1985	1855
YPL135W	XVI	297553	298050	+	498	1695	1690	1516	1371	1468	1515	1353	1385
YPL215W	XVI	147416	148423	+	1008	794	807	637	704	500	480	428	433
YPL112C	XVI	337436	338620	-	1185	591	619	577	540	539	546	405	447
tK(UUU)P	XVI;XVI	769207;769266	769242;769302	-;-	73	0	0	0	0	0	0	0	0
YPR146C	XVI	825347	825676	-	330	16	10	15	7	17	15	16	9
YPR087W	XVI	711354	711674	+	321	1	1	1	0	0	0	2	1
tW(CCA)P	XVI;XVI	56169;56239	56204;56274	-;-	72	6	9	9	3	13	17	4	6
YPL154C	XVI	259714	260931	-	1218	4064	4487	3736	3753	4146	4380	3750	3600
YPL136W	XVI	296286	296654	+	369	0	0	0	0	0	1	0	0
YPR094W	XVI	720637	720960	+	324	77	102	108	87	85	60	66	68
YPR074C	XVI	692796	694838	-	2043	2722	2871	2337	2449	2746	2603	2220	2156
YPL056C	XVI	453430	453735	-	306	128	173	141	157	106	172	160	119
YPL189C-A	XVI	188307	188513	-	207	262	276	295	259	171	217	174	174
YPR082C	XVI	704225	704656	-	432	285	319	273	210	265	189	168	250
YPR133C	XVI	795978	797210	-	1233	1618	1840	1465	1550	1435	1365	1126	1192
YPL047W	XVI	465962	466261	+	300	171	180	157	126	149	181	176	109
YPL077C	XVI	409368	410090	-	723	152	164	139	120	133	113	100	105
YPR016W-A	XVI	593096	593356	+	261	119	102	92	101	17	16	12	16
YPL272C	XVI	26611	28164	-	1554	2236	2469	2125	2037	327	350	285	276
YPR050C	XVI	664953	665366	-	414	0	0	1	0	0	0	0	0
YPR108W-A	XVI	744175	744387	+	213	2	1	4	0	2	2	2	1
YPR070W	XVI	685898	687598	+	1701	273	280	238	267	234	226	190	177
YPL176C	XVI	216012	218363	-	2352	1023	1125	923	880	744	746	645	660
YPL220W	XVI	135790	136443	+	654	590	588	519	488	445	484	393	425
YPL065W	XVI	427927	428655	+	729	264	266	174	184	159	189	145	152
YPL074W	XVI	415763	418027	+	2265	672	786	639	614	559	554	492	452
YPL032C	XVI	488887	491364	-	2478	1499	1472	1385	1206	936	979	970	885
YPL167C	XVI	232593	237107	-	4515	396	359	360	295	247	227	250	249
tN(GUU)P	XVI	810676	810749	+	74	50	58	45	45	76	82	73	78
YPR185W	XVI	907218	909434	+	2217	1204	1228	1034	951	784	830	772	671
YPR160C-A	XVI	862577	862861	-	285	0	0	0	0	0	0	0	0
YPL038W	XVI	480535	481068	+	534	149	146	149	108	105	124	78	110
YPR145W	XVI	822620	824338	+	1719	3897	4001	3419	3507	2002	2192	1858	1846
YPL165C	XVI	237956	239077	-	1122	304	327	253	267	309	254	226	190
YPL193W	XVI	181403	182548	+	1146	793	790	681	674	551	524	367	384
YPL003W	XVI	552020	553408	+	1389	382	403	378	361	285	307	267	255
YPL178W	XVI	212158	212784	+	627	277	327	257	226	227	246	227	196
YPL013C	XVI	528985	529350	-	366	728	736	603	622	518	583	446	502
YPR012W	XVI	584309	584563	+	255	37	37	33	35	24	15	21	14
YPR042C	XVI	650435	653662	-	3228	216	199	168	181	182	189	151	177
YPL103C	XVI	358000	359406	-	1407	250	253	217	254	164	173	166	175
YPR028W	XVI;XVI	623527;623711	623577;624202	+;+	543	617	640	580	508	651	583	557	583
YPR039W	XVI	647012	647347	+	336	0	0	0	4	0	1	0	0
YPR089W	XVI	713275	715941	+	2667	1235	1365	1113	1131	866	864	738	661
YPL075W	XVI;XVI	412254;413013	412261;415362	+;+	2358	757	921	772	651	659	704	653	597
YPR196W	XVI	931376	932788	+	1413	205	182	180	201	157	157	140	142
YPR077C	XVI	697131	697502	-	372	2	1	2	0	1	0	1	1
YPL024W	XVI	503517	504242	+	726	927	878	804	811	819	868	793	801
YPR008W	XVI	573018	575102	+	2085	1825	1892	1589	1612	1694	1688	1371	1310
YPR071W	XVI	688172	688807	+	636	83	101	90	105	93	88	72	61
YPL182C	XVI	203306	203689	-	384	39	49	35	24	29	39	28	18
tC(GCA)P2	XVI	775765	775836	-	72	1	3	3	5	1	2	6	3
YPR062W	XVI	677165	677641	+	477	946	1027	859	848	642	738	595	542
YPL277C	XVI	15405	16868	-	1464	107	109	77	84	167	195	148	135
YPR125W	XVI	787961	789325	+	1365	529	528	466	471	298	335	323	232
YPR131C	XVI	793911	794498	-	588	280	286	242	230	204	204	176	154
YPL221W	XVI	133043	135424	+	2382	943	1024	855	902	752	658	658	629
YPR073C	XVI	691933	692418	-	486	303	309	244	250	228	275	213	201
YPL262W	XVI	47336	48802	+	1467	3069	3411	2731	2656	3133	3458	2713	2765
snR45	XVI	821732	821903	+	172	3	2	4	4	3	7	3	2
YPR036W	XVI	643836	645272	+	1437	1042	1058	974	1005	942	808	826	810
YPL031C	XVI;XVI	492018;493021	492918;493037	-;-	918	1050	1155	932	819	855	883	758	795
YPL237W	XVI	100496	101353	+	858	334	336	322	306	213	250	206	186
YPL053C	XVI	457118	458458	-	1341	885	934	815	813	678	651	563	595
YPR109W	XVI	744689	745573	+	885	171	193	176	132	118	123	119	108
YPR159C-A	XVI	860314	860415	-	102	7	5	3	9	5	9	2	3
YPL122C	XVI	319226	320767	-	1542	230	233	190	206	142	192	172	123
YPL085W	XVI	387067	393654	+	6588	1047	1089	963	994	796	852	642	693
YPR104C	XVI	733623	736433	-	2811	574	546	514	539	437	465	399	391
YPR186C	XVI	909733	911022	-	1290	224	237	195	196	155	150	127	91
YPR201W	XVI	939922	941136	+	1215	149	164	127	129	184	125	134	137
YPL138C	XVI	291366	292427	-	1062	507	462	491	365	381	370	310	378
YPR030W	XVI	627880	631245	+	3366	1139	1246	986	1044	916	930	784	841
YPR190C	XVI	917077	919041	-	1965	553	543	462	527	355	340	384	288
YPL043W	XVI	469939	471996	+	2058	871	859	845	788	563	544	492	484
YPL108W	XVI	348446	348952	+	507	93	90	58	88	73	86	39	58
YPL105C	XVI	352863	355412	-	2550	1622	1713	1427	1447	1243	1402	1191	1182
YPL168W	XVI	231217	232509	+	1293	265	262	236	222	181	194	179	166
YPR018W	XVI	594476	596296	+	1821	635	690	649	619	488	539	449	422
YPR132W	XVI;XVI	794965;795395	795029;795767	+;+	438	1066	1157	974	1017	1031	1063	1011	854
YPL222C-A	XVI	131870	132115	-	246	0	0	0	0	0	0	0	0
YPR137W	XVI	802359	804080	+	1722	734	643	523	599	422	431	368	356
YPL219W	XVI	136750	138228	+	1479	264	282	249	244	213	241	180	244
tS(UGA)P	XVI	689565	689646	+	82	0	0	0	0	0	0	0	0
YPL029W	XVI	495506	497719	+	2214	345	371	272	283	265	308	239	275
YPL113C	XVI	335953	337143	-	1191	674	615	551	560	588	591	470	457
YPL190C	XVI	185317	187725	-	2409	3298	3354	2833	2974	2304	2514	2150	2045
YPL241C	XVI;XVI	95372;96234	96153;96258	-;-	807	123	124	113	116	116	94	80	85
YPL281C	XVI	9557	10870	-	1314	17	14	10	11	16	31	13	19
YPL023C	XVI	504339	506312	-	1974	693	811	779	638	667	634	578	512
YPR043W	XVI;XVI	654166;654571	654167;654847	+;+	279	13	16	8	14	5	6	7	4
YPR116W	XVI	758648	759481	+	834	8	22	12	10	6	7	7	9
YPL252C	XVI	73363	73881	-	519	71	68	46	62	64	56	56	52
YPR047W	XVI	657529	658938	+	1410	342	367	280	303	220	263	216	229
YPL119C-A	XVI	324024	324287	-	264	242	191	166	186	109	104	95	98
YPL194W	XVI	179277	181115	+	1839	417	413	408	377	311	329	276	287
YPL157W	XVI	254814	255761	+	948	415	438	325	355	243	284	220	242
YPL177C	XVI	213042	213962	-	921	2099	2084	1807	1727	1594	1664	1465	1483
YPR165W	XVI	875368	875997	+	630	2450	2577	2307	2172	1925	2045	1735	1745
YPL037C	XVI	481428	481901	-	474	948	971	893	907	827	824	720	790
YPR093C	XVI	719558	720424	-	867	408	364	315	351	318	290	300	255
tG(GCC)P1	XVI	572269	572339	+	71	0	2	0	1	0	5	1	0
YPR066W	XVI	681213	682112	+	900	111	88	80	68	76	85	91	72
YPL247C	XVI	82625	84196	-	1572	511	578	438	441	547	601	515	497
YPL101W	XVI	360209	361579	+	1371	568	624	538	530	474	422	349	416
YPL064C	XVI	428711	429616	-	906	456	495	438	397	389	428	399	389
YPL256C	XVI	64977	66614	-	1638	737	707	588	646	384	466	415	419
YPL099C	XVI	363520	364068	-	549	350	360	332	345	273	315	249	251
YPR023C	XVI	608826	610031	-	1206	1213	1391	1126	993	1129	1140	934	971
YPL093W	XVI	370978	372921	+	1944	1267	1278	1143	1169	720	794	672	629
YPL134C	XVI	298571	299503	-	933	716	667	577	545	602	641	558	542
YPL153C	XVI	261727	264192	-	2466	418	464	346	469	361	361	272	283
YPL222W	XVI	130162	132228	+	2067	1919	1970	1775	1735	1645	1654	1483	1364
YPR075C	XVI	695737	696819	-	1083	1590	1680	1291	1461	1533	1677	1357	1352
YPL118W	XVI	326628	327662	+	1035	1094	1352	1123	1076	1000	1084	891	860
YPL239W	XVI	99484	100086	+	603	1300	1355	1187	1143	1004	1067	933	829
YPR136C	XVI	802325	802837	-	513	2	5	5	3	4	2	0	1
YPL033C	XVI	487362	488207	-	846	88	64	52	74	52	44	47	35
YPR045C	XVI	655140	656552	-	1413	683	819	694	597	484	533	459	404
YPR038W	XVI	646836	647195	+	360	0	0	0	0	0	0	0	0
YPR011C	XVI	583062	584042	-	981	232	242	219	196	243	273	218	204
YPL100W	XVI	361872	363362	+	1491	541	501	433	485	399	392	376	311
YPL076W	XVI	410443	411285	+	843	168	151	142	183	154	157	133	112
YPL027W	XVI	499665	500402	+	738	42	32	51	38	51	77	50	49
YPL271W	XVI	30079	30267	+	189	2033	2087	1738	1641	1541	1632	1477	1253
YPL128C	XVI	306533	308221	-	1689	425	495	395	398	425	434	384	358
YPL139C	XVI	289669	291051	-	1383	616	652	593	576	558	587	438	493
YPL005W	XVI	548486	550306	+	1821	344	370	338	282	290	284	281	250
YPL148C	XVI	272294	272815	-	522	185	191	172	190	171	142	118	130
YPL080C	XVI	406172	406498	-	327	7	19	4	10	3	13	3	3
YPL265W	XVI	41043	42869	+	1827	336	385	294	287	324	341	284	254
snR59	XVI	173827	173904	+	78	1	0	3	2	5	1	0	1
YPR052C	XVI	665693	665974	-	282	84	99	91	73	92	98	81	76
YPR145C-A	XVI	824690	824926	-	237	1094	1190	1027	1026	160	188	187	184
YPL096W	XVI	366927	368018	+	1092	720	687	644	626	523	552	479	403
YPR078C	XVI	697147	698265	-	1119	69	101	58	81	69	61	65	57
YPL104W	XVI	355700	357676	+	1977	405	429	390	326	345	340	275	276
YPR074W-A	XVI	695018	695188	+	171	0	0	0	0	0	0	0	0
YPL283W-B	XVI	643	1125	+	483	0	0	0	0	0	0	0	0
YPR162C	XVI	866715	868304	-	1590	329	307	242	323	177	222	151	176
YPL030W	XVI	493543	495246	+	1704	252	251	227	183	143	175	136	136
YPL069C	XVI	422885	423892	-	1008	200	196	202	160	113	105	94	96
YPL188W	XVI	191406	192650	+	1245	1196	1162	943	1083	815	928	746	781
YPL201C	XVI	169770	171155	-	1386	2351	2499	1982	2072	1862	2016	1737	1778
YPL207W	XVI	159909	162341	+	2433	1606	1694	1432	1471	1049	1134	911	939
YPR021C	XVI	600649	603357	-	2709	546	548	457	521	349	366	304	339
YPL253C	XVI	71063	73006	-	1944	267	241	228	198	150	202	137	133
YPR040W	XVI	647305	648375	+	1071	481	539	434	479	438	484	385	363
YPL143W	XVI;XVI	282122;282666	282140;282970	+;+	324	15	15	9	9	7	6	2	5
YPL132W	XVI	301716	302618	+	903	233	273	244	240	233	247	244	202
YPL171C	XVI	226169	227371	-	1203	715	714	562	641	766	724	697	702
YPL126W	XVI	310210	312900	+	2691	1014	1023	911	926	665	634	543	531
YPR063C	XVI;XVI	677812;678280	678193;678320	-;-	423	464	518	385	480	435	496	423	382
YPR187W	XVI;XVI	911257;911353	911276;911800	+;+	468	629	709	614	586	454	447	434	470
YPL007C	XVI	542082	543848	-	1767	314	326	308	269	142	182	186	166
YPL209C	XVI	156490	157593	-	1104	127	145	133	116	66	86	66	73
YPR182W	XVI	900194	900454	+	261	323	293	228	205	328	324	322	298
YPL242C	XVI	90622	95109	-	4488	1056	1083	930	971	734	774	657	669
YPL205C	XVI	163922	164266	-	345	120	112	104	98	56	39	53	38
YPL278C	XVI	15053	15355	-	303	25	20	29	17	35	36	30	19
YPR086W	XVI	710101	711138	+	1038	902	902	843	822	695	685	623	537
YPR117W	XVI	760025	767494	+	7470	516	568	488	499	344	360	291	322
YPL096C-A	XVI	366529	366735	-	207	33	42	51	53	27	23	22	22
YPR092W	XVI	718379	718684	+	306	2	0	1	11	0	2	2	2
YPL086C	XVI	384773	386446	-	1674	416	414	434	382	231	248	233	194
YPR005C	XVI	565787	566671	-	885	918	1003	813	819	749	788	662	744
YPR046W	XVI	656799	657344	+	546	114	106	110	103	80	103	64	94
tK(CUU)P	XVI	582062	582134	+	73	0	0	0	0	2	0	0	0
YPL269W	XVI	33013	34947	+	1935	188	170	140	129	140	150	107	137
YPL135C-A	XVI	297678	297851	-	174	0	0	0	0	0	0	0	0
YPR105C	XVI	736984	739569	-	2586	557	514	472	467	313	384	299	365
YPL158C	XVI	252034	254310	-	2277	508	472	431	462	366	448	397	334
tE(UUC)P	XVI	210192	210263	-	72	0	0	0	0	0	0	0	0
YPL094C	XVI	369839	370663	-	825	883	859	799	736	700	725	659	650
YPR176C	XVI	891101	892078	-	978	494	514	445	431	375	403	363	300
YPL191C	XVI	183597	184679	-	1083	259	275	222	167	174	187	185	141
YPR204C-A	XVI	946856	947338	-	483	0	0	0	0	0	0	0	0
YPR163C	XVI	868645	869955	-	1311	1816	2076	1724	1675	1439	1581	1181	1253
YPL229W	XVI	117067	117687	+	621	568	583	484	539	470	447	387	377
YPR160W	XVI	861306	864014	+	2709	1314	1374	1202	1339	1320	1424	1071	1146
YPL049C	XVI	462481	463839	-	1359	1192	1228	1054	1091	920	996	869	798
YPL066W	XVI	426233	427672	+	1440	731	651	687	585	563	604	559	487
YPL183W-A	XVI	199095	199376	+	282	255	264	263	231	240	179	195	146
YPL235W	XVI	103232	104647	+	1416	597	687	674	639	457	483	432	396
YPL141C	XVI	283464	286061	-	2598	1082	1230	1046	997	969	1093	796	876
tF(GAA)P1	XVI;XVI	560198;560253	560233;560289	-;-	73	0	1	0	0	1	2	1	0
YPR144C	XVI	819765	821423	-	1659	408	395	342	374	240	270	181	180
YPL249C-A	XVI;XVI	75699;76224	75985;76239	-;-	303	42	27	30	21	11	19	16	21
YPR128C	XVI	791218	792204	-	987	407	418	332	386	329	347	263	255
YPR054W	XVI	666280	667446	+	1167	142	154	134	128	136	135	128	145
YPL156C	XVI	255913	256767	-	855	1233	1267	1168	1071	1218	1251	1167	1006
YPL173W	XVI	223143	224036	+	894	548	626	545	476	457	511	399	347
YPR098C	XVI;XVI	728947;729482	729385;729528	-;-	486	616	636	517	521	545	621	490	453
YPL260W	XVI	49303	50958	+	1656	1807	1668	1551	1511	1076	1174	994	994
YPL251W	XVI	73625	73927	+	303	0	0	3	0	0	2	0	1
YPL016W	XVI	521014	524958	+	3945	1051	1108	962	936	572	594	532	564
YPR095C	XVI	721037	724717	-	3681	517	540	449	427	329	353	343	308
YPR079W	XVI	698869	700014	+	1146	397	391	315	404	405	426	392	359
YPR010C	XVI	577585	581196	-	3612	1368	1295	1295	1176	759	826	718	704
YPL046C	XVI	466644	466943	-	300	178	168	132	144	107	122	88	73
YPL021W	XVI	511101	511664	+	564	4	7	0	4	10	0	0	4
YPL268W	XVI	35236	37845	+	2610	593	624	526	498	358	394	354	339
YPL283C	XVI;XVI	280;5989	5840;6007	-;-	5580	0	0	0	0	0	0	4	0
YPL206C	XVI	162632	163597	-	966	670	744	624	673	602	585	521	516
YPR055W	XVI	667676	670873	+	3198	297	299	238	257	219	202	163	191
YPR138C	XVI	810984	812453	-	1470	3244	3745	3125	2917	3601	4003	3472	3365
YPL243W	XVI	88517	90316	+	1800	1066	1150	927	978	755	810	719	709
YPR127W	XVI	790083	791120	+	1038	935	933	837	850	942	951	807	824
YPL095C	XVI	368071	369441	-	1371	234	261	204	195	212	259	224	209
YPR027C	XVI	620425	621258	-	834	209	207	161	150	165	162	159	154
YPL232W	XVI	107275	108147	+	873	1689	1809	1362	1389	1283	1334	1166	1083
YPL124W	XVI	316755	317516	+	762	129	129	109	117	94	89	71	84
YPR041W	XVI	648704	649921	+	1218	2049	2166	1839	1841	1552	1521	1441	1322
YPL083C	XVI	396702	398105	-	1404	251	260	228	238	186	210	168	141
YPL048W	XVI	464401	465648	+	1248	3268	3456	2908	2992	2672	2766	2392	2216
YPL120W	XVI	322071	323744	+	1674	303	322	278	282	253	213	195	179
YPL117C	XVI	327864	328730	-	867	2242	2286	1910	1994	1412	1510	1249	1290
YPR126C	XVI	789077	789385	-	309	12	15	20	12	9	12	8	8
YPR091C	XVI	716156	718468	-	2313	741	697	583	626	560	625	509	584
YPR059C	XVI	674314	674700	-	387	0	0	1	1	0	0	1	0
YPL214C	XVI	148569	150191	-	1623	364	408	339	252	333	320	318	293
YPL203W	XVI	166256	167398	+	1143	1165	1279	971	970	1097	1102	1000	882
YPL273W	XVI	25087	26064	+	978	268	301	284	284	184	207	197	201
YPR081C	XVI	702114	703970	-	1857	775	883	666	708	717	662	659	595
YPL011C	XVI	533642	534703	-	1062	549	531	473	486	348	394	311	287
YPR097W	XVI	725394	728615	+	3222	931	894	723	719	540	552	487	470
YPL274W	XVI	22938	24701	+	1764	490	516	433	398	295	286	231	246
YPR158W	XVI	843262	844020	+	759	879	897	788	803	571	589	514	472
YPL050C	XVI	460779	461966	-	1188	1180	1168	1103	989	811	910	804	746
YPR114W	XVI	753301	754248	+	948	778	723	637	591	645	614	525	612
YPL110C	XVI	341068	344739	-	3672	880	959	886	862	654	677	621	581
YPL161C	XVI	244319	246220	-	1902	598	627	509	508	347	367	340	324
YPR022C	XVI	603911	607312	-	3402	896	961	907	814	646	750	632	651
tT(UGU)P	XVI	744284	744355	+	72	0	0	0	0	0	0	0	0
YPR175W	XVI	888974	891043	+	2070	205	232	141	174	145	129	121	123
YPL068C	XVI	424215	425096	-	882	127	110	98	92	72	101	85	56
YPL055C	XVI	453992	454990	-	999	940	1084	921	881	846	845	704	650
YPL079W	XVI;XVI	406636;407068	406646;407539	+;+	483	658	770	609	632	571	579	505	509
YPL150W	XVI	268188	270893	+	2706	714	740	634	678	663	640	566	532
YPR192W	XVI	921860	922777	+	918	774	757	689	719	600	656	535	516
YPL226W	XVI	121767	125357	+	3591	1192	1323	1032	1004	776	786	753	725
YPL115C	XVI	332100	335486	-	3387	468	434	391	383	315	321	276	338
YPL283W-A	XVI	1426	2001	+	576	0	0	0	0	0	0	0	0
YPL170W	XVI	228314	228772	+	459	2275	2501	2157	1916	1661	1828	1663	1540
YPL245W	XVI	85586	86950	+	1365	80	114	103	94	81	78	91	75
YPR140W	XVI	814391	815536	+	1146	480	551	461	459	409	437	343	343
YPR048W	XVI	659182	661053	+	1872	450	476	387	389	248	258	257	241
YPR102C	XVI	731224	731748	-	525	469	434	432	408	392	505	347	322
YPL036W	XVI	482843	485686	+	2844	2502	2651	2106	2253	2645	2847	2442	2383
YPR015C	XVI	590283	591026	-	744	228	261	255	257	236	210	193	185
YPR133W-A	XVI	797557	797709	+	153	161	158	162	174	151	110	127	146
YPL146C	XVI	276162	277529	-	1368	514	555	487	420	277	235	205	214
YPR107C	XVI	741438	742064	-	627	310	419	356	337	281	270	232	191
YPL035C	XVI	486564	486911	-	348	33	47	24	29	25	24	18	14
YPL082C	XVI	398480	404083	-	5604	496	601	514	492	400	386	331	317
YPR064W	XVI	678951	679370	+	420	4	13	8	9	8	9	3	2
YPL216W	XVI	143821	147129	+	3309	367	352	312	338	240	347	216	249
YPL152W	XVI	265028	266104	+	1077	448	467	402	356	387	336	301	326
YPL230W	XVI	115312	116487	+	1176	2624	2742	2363	2342	2098	2315	1890	1903
YPL159C	XVI	250907	251668	-	762	1213	1184	1016	1024	713	740	673	659
YPR183W	XVI	900755	901558	+	804	701	758	617	679	631	711	648	532
YPL204W	XVI	164276	165760	+	1485	1689	1685	1446	1435	1237	1304	1125	1099
YPL109C	XVI;XVI	345264;345597	345444;347389	-;-	1974	709	747	630	711	524	516	487	466
YPL249C	XVI	76669	79353	-	2685	853	983	798	881	720	726	594	706
YPR154W	XVI	834565	835212	+	648	1087	1155	1059	1008	815	877	754	727
YPR026W	XVI	615379	619014	+	3636	2072	2087	1678	1758	1399	1620	1307	1155
YPR076W	XVI	696476	696850	+	375	1	0	0	0	0	0	0	0
YPR170W-B	XVI;XVI	883239;883487	883387;883595	+;+	258	9	7	6	1	4	5	5	5
YPR016C	XVI	592332	593069	-	738	742	813	713	610	576	575	546	533
YPL060W	XVI	434523	435764	+	1242	203	214	188	185	128	171	177	121
YPR029C	XVI	624469	626967	-	2499	1062	1117	1019	960	746	792	691	690
YPR002C-A	XVI	560569	560766	-	198	19	23	17	13	7	2	2	9
YPL106C	XVI	350194	352275	-	2082	10663	11008	9337	9396	8695	9228	7738	7640
YPR085C	XVI	708497	709828	-	1332	412	454	437	404	348	383	341	330
YPL008W	XVI	539385	541970	+	2586	604	606	498	520	402	434	348	374
YPR152C	XVI	832061	833458	-	1398	249	304	197	251	264	259	225	226
YPL212C	XVI	151515	153149	-	1635	807	863	685	721	391	416	311	333
YPL119C	XVI	324411	326264	-	1854	823	914	782	821	765	727	631	682
YPL078C	XVI	408010	408744	-	735	3318	3419	2949	2772	2531	2698	2270	2308
YPL195W	XVI	176223	179021	+	2799	959	942	837	758	625	646	546	622
YPL025C	XVI	502473	503030	-	558	17	13	12	10	18	21	10	8
YPR060C	XVI	674861	675631	-	771	10885	11110	9279	9244	205	182	129	149
YPL199C	XVI	172033	172755	-	723	326	364	303	338	267	335	233	270
YPL228W	XVI	118382	120031	+	1650	571	591	509	469	435	513	418	480
YPL018W	XVI	517651	518760	+	1110	359	344	340	309	357	266	279	307
YPL259C	XVI	51244	52671	-	1428	522	508	469	438	317	390	330	270
YPR150W	XVI	830999	831520	+	522	0	3	2	4	1	2	0	3
YPL072W	XVI	418512	420011	+	1500	200	220	181	191	202	173	161	161
YPL130W	XVI	304387	305058	+	672	20	26	29	29	30	37	15	22
YPR179C	XVI	893797	895764	-	1968	568	574	481	527	395	355	336	399
YPR096C	XVI	724842	725144	-	303	10	9	6	7	14	10	12	8
YPL028W	XVI	498096	499292	+	1197	1134	1144	905	966	799	871	756	818
YPL174C	XVI	220167	222773	-	2607	465	428	395	372	280	279	209	239
YPR031W	XVI	631515	633761	+	2247	407	469	433	458	288	336	375	343
YPL257W-A	XVI	56748	58070	+	1323	0	0	0	0	0	0	0	0
YPR158W-A	XVI	844709	846031	+	1323	0	0	0	0	0	0	0	0
YPL257W-B	XVI	56748	62016	+	5269	0	0	0	2	0	0	0	0
YPR158C-D	XVI	850989	856257	-	5269	168	172	137	159	182	235	190	178
YPR137C-A	XVI	808947	810269	-	1323	0	0	0	0	0	0	0	0
YPR137C-B	XVI	805001	810269	-	5269	19	16	13	15	15	17	19	17
YPR158W-B	XVI	844709	849980	+	5272	35	39	16	14	34	26	18	19
YPL060C-A	XVI	437333	442742	-	5410	14	14	4	10	16	6	4	2
YPR158C-C	XVI	854935	856257	-	1323	0	0	0	0	0	0	0	0
YMR172W	XIII	605981	608140	+	2160	718	708	726	616	536	569	491	576
YMR027W	XIII	325877	327289	+	1413	1822	1866	1752	1749	1454	1545	1332	1365
YML089C	XIII	91041	91409	-	369	60	61	36	48	49	62	76	64
YMR290C	XIII	850074	851591	-	1518	768	853	719	713	460	500	418	396
YMR139W	XIII	546125	547237	+	1113	699	732	593	645	551	602	517	534
YMR191W	XIII	645656	646777	+	1122	3445	3703	3218	3050	2829	2768	2402	2457
YMR244C-A	XIII	758517	758831	-	315	2	5	7	6	2	6	2	3
YMR091C	XIII	450058	451365	-	1308	654	658	675	575	439	512	451	417
YMR173W-A	XIII	608897	610081	+	1185	184	202	155	157	135	151	122	119
YMR180C	XIII	622251	623213	-	963	198	276	198	204	202	240	190	180
YML020W	XIII	231149	233143	+	1995	714	735	686	674	450	615	483	522
YML088W	XIII	92235	94241	+	2007	855	877	748	785	650	639	559	467
YML077W	XIII	111865	112344	+	480	242	271	248	223	192	179	136	134
YML125C	XIII	20761	21699	-	939	331	384	261	373	302	309	228	290
YMR318C	XIII	911061	912143	-	1083	929	1018	857	794	587	682	570	574
YMR115W	XIII	497704	499209	+	1506	789	834	744	734	582	671	557	554
YMR266W	XIII	798518	801379	+	2862	1348	1329	1125	1166	969	1052	834	855
YML057W	XIII	160180	161994	+	1815	740	741	661	562	619	632	563	536
YML055W	XIII	164790	165326	+	537	403	455	376	357	284	319	217	262
YMR105C	XIII	475897	477606	-	1710	2054	2060	1624	1661	1785	1924	1662	1549
YMR268C	XIII	802888	804222	-	1335	216	225	222	199	152	135	127	118
YML133W-B	XIII	827	1309	+	483	0	0	0	0	0	0	0	0
YML090W	XIII	90744	91130	+	387	129	164	136	112	72	86	58	73
YML101C	XIII	69735	70088	-	354	115	113	94	107	125	101	96	97
YMR012W	XIII	291134	294967	+	3834	2162	2138	1600	1664	1252	1259	1151	1165
tY(GUA)M2	XIII;XIII	837928;837981	837966;838016	+;+	75	0	0	0	0	0	0	0	0
YMR202W	XIII	667537	668205	+	669	1425	1617	1362	1447	974	1076	1011	832
YMR083W	XIII	434788	435915	+	1128	3251	3420	3000	2759	2261	2435	2149	2010
